customer_id,CustomerEducation,CustomerCategory
CUST000001,Doctorate,Corporate
CUST000002,Postgraduate,Corporate
CUST000003,Doctorate,Corporate
CUST000004,Graduate,Corporate
CUST000005,Doctorate,Corporate
CUST000006,Undergraduate,Corporate
CUST000007,Undergraduate,Corporate
CUST000008,Graduate,Corporate
CUST000009,Undergraduate,Corporate
CUST000010,Doctorate,Corporate
CUST000011,Postgraduate,Corporate
CUST000012,Postgraduate,Corporate
CUST000013,Undergraduate,Corporate
CUST000014,Doctorate,Corporate
CUST000015,Undergraduate,Corporate
CUST000016,Undergraduate,Corporate
CUST000017,Graduate,Corporate
CUST000018,Undergraduate,Corporate
CUST000019,Undergraduate,Corporate
CUST000020,Graduate,Corporate
CUST000021,Graduate,Corporate
CUST000022,Undergraduate,Corporate
CUST000023,Doctorate,Corporate
CUST000024,Doctorate,Corporate
CUST000025,Doctorate,Corporate
CUST000026,Doctorate,Corporate
CUST000027,Postgraduate,Corporate
CUST000028,Doctorate,Corporate
CUST000029,Postgraduate,Corporate
CUST000030,Graduate,Corporate
CUST000031,Undergraduate,Corporate
CUST000032,Graduate,Corporate
CUST000033,Doctorate,Corporate
CUST000034,Postgraduate,Corporate
CUST000035,Undergraduate,Corporate
CUST000036,Graduate,Corporate
CUST000037,Graduate,Corporate
CUST000038,Doctorate,Corporate
CUST000039,Graduate,Corporate
CUST000040,Graduate,Corporate
CUST000041,Doctorate,Corporate
CUST000042,Postgraduate,Corporate
CUST000043,Doctorate,Corporate
CUST000044,Graduate,Corporate
CUST000045,Graduate,Corporate
CUST000046,Doctorate,Corporate
CUST000047,Undergraduate,Corporate
CUST000048,Doctorate,Corporate
CUST000049,Postgraduate,Corporate
CUST000050,Undergraduate,Corporate
CUST000051,Undergraduate,Corporate
CUST000052,Graduate,Corporate
CUST000053,Graduate,Corporate
CUST000054,Undergraduate,Corporate
CUST000055,Doctorate,Corporate
CUST000056,Graduate,Corporate
CUST000057,Postgraduate,Corporate
CUST000058,Postgraduate,Corporate
CUST000059,Undergraduate,Corporate
CUST000060,Doctorate,Corporate
CUST000061,Graduate,Corporate
CUST000062,Postgraduate,Corporate
CUST000063,Postgraduate,Corporate
CUST000064,Undergraduate,Corporate
CUST000065,Undergraduate,Corporate
CUST000066,Undergraduate,Corporate
CUST000067,Graduate,Corporate
CUST000068,Doctorate,Corporate
CUST000069,Graduate,Corporate
CUST000070,Doctorate,Corporate
CUST000071,Doctorate,Corporate
CUST000072,Graduate,Corporate
CUST000073,Doctorate,Corporate
CUST000074,Doctorate,Corporate
CUST000075,Graduate,Corporate
CUST000076,Postgraduate,Corporate
CUST000077,Postgraduate,Corporate
CUST000078,Graduate,Corporate
CUST000079,Graduate,Corporate
CUST000080,Graduate,Corporate
CUST000081,Graduate,Corporate
CUST000082,Postgraduate,Corporate
CUST000083,Undergraduate,Corporate
CUST000084,Undergraduate,Corporate
CUST000085,Undergraduate,Corporate
CUST000086,Graduate,Corporate
CUST000087,Undergraduate,Corporate
CUST000088,Doctorate,Corporate
CUST000089,Graduate,Corporate
CUST000090,Postgraduate,Corporate
CUST000091,Postgraduate,Corporate
CUST000092,Graduate,Corporate
CUST000093,Undergraduate,Corporate
CUST000094,Doctorate,Corporate
CUST000095,Undergraduate,Corporate
CUST000096,Graduate,Corporate
CUST000097,Graduate,Corporate
CUST000098,Graduate,Corporate
CUST000099,Graduate,Corporate
CUST000100,Doctorate,Corporate
CUST000101,Graduate,Corporate
CUST000102,Doctorate,Corporate
CUST000103,Postgraduate,Corporate
CUST000104,Undergraduate,Corporate
CUST000105,Graduate,Corporate
CUST000106,Doctorate,Corporate
CUST000107,Postgraduate,Corporate
CUST000108,Graduate,Corporate
CUST000109,Doctorate,Corporate
CUST000110,Graduate,Corporate
CUST000111,Graduate,Corporate
CUST000112,Postgraduate,Corporate
CUST000113,Graduate,Corporate
CUST000114,Doctorate,Corporate
CUST000115,Postgraduate,Corporate
CUST000116,Postgraduate,Corporate
CUST000117,Undergraduate,Corporate
CUST000118,Postgraduate,Corporate
CUST000119,Graduate,Corporate
CUST000120,Undergraduate,Corporate
CUST000121,Undergraduate,Corporate
