financial_id,order_id,cogs,operational_expenses,other_expenses,total_revenue,profit,financial_date,taxes_paid,discount_given
FIN000001,ORD000001,296,4122,272,3624,3373,2023-04-30,87,50
FIN000002,ORD000002,946,3025,2777,4404,2555,2023-12-18,227,114
FIN000003,ORD000003,567,1081,2524,3341,3740,2024-12-06,406,141
FIN000004,ORD000004,817,3226,427,653,4913,2023-10-16,465,120
FIN000005,ORD000005,791,2956,627,8835,7747,2023-07-01,94,9
FIN000006,ORD000006,555,3359,2323,3812,6987,2024-11-13,62,119
FIN000007,ORD000007,984,2435,1994,2336,8750,2024-02-15,341,57
FIN000008,ORD000008,779,3405,2319,2035,7255,2024-11-03,66,21
FIN000009,ORD000009,273,1219,1815,2495,5159,2023-03-16,227,143
FIN000010,ORD000010,379,1209,2541,1987,1380,2023-08-29,192,156
FIN000011,ORD000011,425,986,1632,5237,6555,2023-04-09,81,158
FIN000012,ORD000012,306,2540,2048,2691,-149,2023-07-28,347,57
FIN000013,ORD000013,984,2063,1478,2216,8771,2024-08-15,381,162
FIN000014,ORD000014,474,4452,1750,8348,3764,2022-12-24,31,298
FIN000015,ORD000015,244,816,1659,1487,3491,2023-02-26,76,298
FIN000016,ORD000016,134,4168,2747,4745,8212,2024-08-08,179,119
FIN000017,ORD000017,842,2376,108,3195,4646,2023-01-13,39,120
FIN000018,ORD000018,932,3284,942,7800,2633,2023-09-10,474,117
FIN000019,ORD000019,386,2318,427,6921,6349,2023-05-14,377,241
FIN000020,ORD000020,394,1899,2581,8897,8117,2024-05-26,438,42
FIN000021,ORD000021,871,2578,148,2568,8512,2024-12-02,346,274
FIN000022,ORD000022,324,3276,1791,2317,596,2024-10-09,51,279
FIN000023,ORD000023,379,3881,1663,8443,1401,2024-01-25,238,98
FIN000024,ORD000024,587,3123,1682,866,5967,2024-02-01,320,102
FIN000025,ORD000025,617,613,1883,4925,7949,2024-11-08,311,284
FIN000026,ORD000026,839,1834,271,1067,2790,2024-01-02,226,49
FIN000027,ORD000027,161,1940,2891,8517,1879,2024-05-05,25,96
FIN000028,ORD000028,227,1172,1765,5177,6045,2023-01-12,54,106
FIN000029,ORD000029,709,3668,485,4094,454,2023-08-29,447,112
FIN000030,ORD000030,314,3259,957,4439,5489,2024-02-14,34,198
FIN000031,ORD000031,214,567,1305,1300,3073,2024-11-08,464,276
FIN000032,ORD000032,915,2287,435,6898,1738,2023-03-05,24,278
FIN000033,ORD000033,718,2672,1480,5501,3340,2023-04-26,180,160
FIN000034,ORD000034,752,3462,1406,1575,4840,2023-02-16,332,285
FIN000035,ORD000035,314,1365,2105,6696,4928,2024-07-18,156,219
