campaign_id,order_id,campaign_type,start_date,end_date,marketing_spend,reach,impressions,clicks,conversion_rate
CAM000001,ORD035395,TV Commercial,2023-09-23,2024-11-14,4172,62546,158354,1719,0.03
CAM000002,ORD047769,Google Ads,2023-06-09,2024-09-21,2442,174886,110811,758,0.07
CAM000003,ORD027060,Radio Ads,2023-03-02,2024-10-22,13620,51350,148411,1235,0.03
CAM000004,ORD038838,Radio Ads,2023-08-15,2023-12-31,3423,188006,123471,317,0.07
CAM000005,ORD005822,TV Commercial,2023-05-18,2024-03-16,6578,145412,61490,406,0.06
CAM000006,ORD019439,TV Commercial,2023-01-22,2024-04-04,1191,179400,179655,1003,0.09
CAM000007,ORD007098,TV Commercial,2023-09-22,2024-07-22,10189,91135,132124,325,0.08
CAM000008,ORD026298,Google Ads,2023-05-15,2024-06-07,1242,77707,194582,865,0.05
CAM000009,ORD027903,Google Ads,2023-12-06,2024-02-19,17031,120130,148621,202,0.09
CAM000010,ORD015179,Google Ads,2023-09-03,2023-12-31,4764,180898,191697,1247,0.02
CAM000011,ORD049344,Email Campaign,2023-05-27,2024-08-16,18284,95944,66067,1760,0.09
CAM000012,ORD011001,TV Commercial,2023-04-16,2024-05-10,18981,154431,49782,1270,0.03
CAM000013,ORD038864,TV Commercial,2023-10-30,2024-01-23,12496,31488,118893,222,0.05
CAM000014,ORD028131,Google Ads,2023-06-24,2024-05-29,9575,19811,24568,912,0.09
CAM000015,ORD025500,Radio Ads,2022-12-26,2024-10-29,13940,142443,227677,850,0.04
CAM000016,ORD025057,Radio Ads,2023-02-12,2024-09-20,12433,170095,227092,1893,0.07
CAM000017,ORD026771,TV Commercial,2023-10-06,2024-07-26,10716,168208,135297,550,0.03
CAM000018,ORD045417,TV Commercial,2022-12-13,2024-09-27,13565,36487,24969,1743,0.09
CAM000019,ORD009506,Email Campaign,2023-08-31,2024-10-03,5089,170669,74319,972,0.06
CAM000020,ORD018024,Google Ads,2023-11-22,2023-12-30,13917,33450,196413,106,0.06
CAM000021,ORD000857,Google Ads,2023-11-12,2024-05-27,16007,71503,98500,1884,0.09
CAM000022,ORD020713,Email Campaign,2023-10-20,2024-09-15,3208,176632,174306,1834,0.02
CAM000023,ORD044587,TV Commercial,2023-06-05,2024-01-13,13669,38304,77649,678,0.04
CAM000024,ORD025245,Social Media,2023-02-28,2023-12-24,6216,185305,175110,1198,0.04
CAM000025,ORD010300,Google Ads,2023-05-10,2024-05-31,7267,135662,213753,1455,0.1
CAM000026,ORD016251,Email Campaign,2023-06-25,2024-11-16,8262,136059,172602,687,0.07
CAM000027,ORD017367,Email Campaign,2023-01-12,2024-03-06,15701,197588,62685,1742,0.05
CAM000028,ORD037103,Email Campaign,2023-02-13,2024-06-30,10628,181429,148276,1604,0.02
CAM000029,ORD037963,Google Ads,2022-12-10,2024-08-04,17304,136250,97118,1427,0.05
CAM000030,ORD015887,Email Campaign,2023-09-29,2024-09-20,14632,107838,91927,608,0.01
CAM000031,ORD045429,Email Campaign,2023-07-11,2024-11-29,19733,71466,185640,359,0.02
CAM000032,ORD011344,Social Media,2023-11-15,2024-10-22,5770,148817,108255,1209,0.01
CAM000033,ORD031084,Radio Ads,2022-12-30,2024-03-16,12795,169759,14509,1744,0.02
CAM000034,ORD013137,Social Media,2023-05-22,2024-05-21,4043,146003,12508,742,0.05
CAM000035,ORD021739,TV Commercial,2023-07-05,2024-07-04,5623,88046,43570,1399,0.05
CAM000036,ORD041498,Social Media,2023-02-02,2024-01-17,1279,109333,97028,135,0.02
CAM000037,ORD048237,TV Commercial,2023-04-24,2024-09-08,8809,85006,115905,1981,0.02
CAM000038,ORD022210,TV Commercial,2023-04-04,2024-05-29,17313,182468,155400,1155,0.09
CAM000039,ORD020534,Radio Ads,2023-06-06,2024-07-18,2598,109585,225367,192,0.05
CAM000040,ORD001629,TV Commercial,2023-01-11,2024-04-13,9983,89771,185668,149,0.03
CAM000041,ORD004641,Social Media,2023-12-07,2024-11-17,12643,107433,210442,273,0.08
CAM000042,ORD021058,Radio Ads,2023-05-30,2024-03-14,16235,81274,164290,1932,0.1
